No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
4,13,86.7212,201.498,2.16746,2.39806,873.016,1139.03,-30.1266,68.6555,30895,1318.13,1,1,2,3,4,0
4,14,86.263,201.514,2.10215,2.28266,1008.98,1120.4,-27.792,56.8005,30059.4,1302.37,1,1,2,3,4,0
4,15,86.1507,200.78,3.20774,3.90702,1921.8,239.415,-54.0056,-20.5998,151853,1227.06,1,2,2,3,4,0
4,16,85.3157,199.063,2.25035,3.13917,1424.31,742.035,13.6409,60.0542,59455.2,1135.57,1,2,2,3,4,0
4,17,85.5692,198.752,2.25714,3.34671,1483.54,804.896,7.03604,75.3682,63129.6,1166.13,1,2,2,3,4,0
4,18,86.2011,198.686,2.4997,3.07011,1546.73,769.529,-10.9901,61.0098,88905.4,1293.91,1,2,3,4,5,0
4,19,87.8595,201.751,2.22392,2.74352,1192.67,856.166,-35.7915,39.9281,57005.7,1183.94,1,2,3,4,5,0
4,20,89.5179,204.817,1.94813,2.41694,838.622,942.802,-60.5929,18.8465,25106,1073.98,1,2,3,4,5,0
4,21,90.4719,204.442,2.29559,2.3501,1045.38,877.63,-44.6468,56.9582,34749.3,1087.79,1,2,2,3,4,0
4,22,90.9731,205.606,2.36318,3.01446,1234.37,738.907,-32.9363,35.5407,53199.5,1061.09,1,2,2,3,4,0
4,23,91.4743,206.769,2.43077,3.67882,1423.35,600.185,-21.2258,14.1231,71649.8,1034.39,1,1,1,1,1,0
4,24,91.0892,206.642,2.15614,3.12768,1294.15,727.676,-24.093,19.2201,52390.3,1030.57,1,1,1,1,1,0
4,25,91.0801,206.295,2.23278,2.84175,1369.21,787.076,-21.8182,34.3673,51244.6,1101.25,1,1,1,1,1,0
4,26,91.4838,206.093,2.24599,2.61727,1485.79,783.394,-15.2436,40.9457,51564.5,1114.62,1,1,1,1,1,0
4,27,91.5561,205.936,2.49439,2.68155,1254.95,663.82,-4.57301,46.0979,52045.2,959.651,1,1,1,1,1,0
4,28,91.3158,206.139,2.20387,2.75566,1135.3,617.185,-17.4017,43.4157,42658.5,893.006,1,1,1,1,1,0
4,29,90.9916,206.541,2.22337,3.14925,1069.12,596.672,-25.8226,66.5267,46911.2,900.633,,,,,,0
5,1,110.091,247.803,2.61341,3.49382,2360.57,357.851,-26.9307,13.5514,126689,1104.92,1,1,2,3,4,0
5,2,110.096,247.665,2.80329,3.59321,2496.78,342,-29.6364,35.5903,137282,1163.79,1,1,2,3,4,0
5,3,109.893,248.837,3.28725,3.86055,2714.91,-72.7207,3.68284,-17.8359,188620,1157.38,1,1,2,3,4,0
5,4,110.162,248.346,2.56407,3.15044,2420.41,420.532,-27.13,12.6184,117754,1120.73,1,2,2,3,4,0
5,5,110.047,246.324,2.33308,2.65091,1689.64,813.893,-38.5313,95.1362,61147,1135.4,1,2,2,3,4,0
5,6,111.034,246.074,2.03577,2.57618,1570.34,645.995,-41.3867,52.2153,50608.3,945.095,1,1,2,3,4,0
5,7,111.539,245.175,2.04953,2.14936,2114.61,486.934,-10.8241,44.2557,60289.1,879.651,1,1,2,3,4,0
5,8,112.238,244.957,2.04932,2.04661,1907.52,462.254,-9.77212,39.3952,50817.8,746.811,1,1,2,3,4,0
5,9,113.16,245.124,2.3176,2.12815,1983.01,379.736,-47.2514,23.9411,59233.8,736.621,1,1,2,3,4,0
5,10,112.631,245.25,2.67712,2.65837,2075.56,150.306,-47.5708,50.5257,96207.6,744.87,1,1,2,3,4,0
5,11,112.046,246.012,2.65306,2.81501,2118.14,112.65,4.70053,-0.552553,103097,757.657,1,1,2,3,4,0
5,12,112.712,245.726,2.63559,2.58996,1376.76,365.764,-36.6198,37.7966,56522.4,694.994,1,1,2,3,4,0
5,13,112.852,245.557,2.63335,2.09207,1161.76,483.272,-21.4864,59.7993,40585.7,731.337,1,2,2,3,4,0
5,14,111.931,246.569,2.49651,2.75248,1022.99,602.083,6.077,61.3733,40416.3,839.87,1,2,2,3,4,0
5,15,111.743,248.031,2.58091,3.66751,1446.83,466.326,-1.87242,29.4859,74080.2,923.663,1,1,2,3,4,0
5,16,111.461,247.995,1.95163,3.13409,1774.68,445.959,-21.3377,23.8279,62828.4,809.574,1,1,2,3,4,0
5,17,110.822,248.427,2.13962,3.73985,1890.42,396.861,-19.3769,18.4078,84195.1,908.225,1,1,2,3,4,0
5,18,110.711,247.212,2.2066,3.27601,2089.51,480.608,-15.4166,48.8364,86986.4,1022.63,1,1,2,3,4,0
5,19,110.599,247.966,2.58506,3.51202,2149.41,308.106,-12.1552,14.165,111693,997.325,1,1,2,3,4,0
5,20,110.827,248.721,2.1834,3.62971,1904.91,352.833,-20.9027,13.7002,82120.4,864.793,1,1,2,3,4,0
5,21,111.267,247.26,1.86259,2.58926,1835.72,495.026,-7.54268,40.2555,61135.9,844.278,1,1,2,3,4,0
5,22,111.144,246.654,1.92361,3.04643,2033.93,538.16,-32.3952,59.8174,73837.6,954.03,1,1,1,1,1,0
5,23,111.106,246.639,2.20665,2.96803,1984.17,357.56,-11.5093,32.3528,97823.8,929.97,1,1,1,1,1,0
5,24,111.067,246.625,2.48969,2.88962,1934.42,176.96,9.37646,4.8882,121810,905.911,1,2,3,4,5,0
5,25,110.73,251.713,1.96154,2.6706,2082.29,540.479,-7.77776,-64.5266,62548.8,946.142,1,2,3,4,5,0
5,26,112.155,245.837,2.67478,2.79915,1775.68,165.079,-1.02989,2.56041,100360,767.343,1,1,1,1,1,0
5,27,112.349,246.084,2.12098,2.96578,1781.99,445.162,-17.2717,54.4436,67143.1,880.331,1,1,1,1,1,0
5,28,112.269,245.771,2.17,2.97507,1831.8,466.357,-16.0409,79.4249,70717,877.03,1,1,1,1,1,0
5,29,112.165,246.05,2.59552,2.76959,1853.39,284.053,-8.21572,23.5184,97328.9,934.083,1,1,1,2,2,0
5,30,111.659,246.535,3.0248,3.93286,1194.5,286.605,-6.33694,37.1246,88577.3,838.917,1,2,3,4,5,0
5,31,111.255,248.896,2.88444,3.37436,1169.62,472.63,-4.41998,-11.1488,70699.4,911.036,1,2,3,4,5,0
5,32,110.851,251.256,2.74409,2.81586,1144.75,658.654,-2.50302,-59.4221,52821.4,983.154,1,2,3,4,5,0
5,33,111.466,252.408,2.16794,2.30821,1714.46,616.594,-34.4866,-90.9329,53346.6,935.497,1,2,2,3,4,0
5,34,111.147,251.927,1.89783,2.77507,1565.56,613.287,-7.12557,-72.0565,50346,933.817,,,,,,0
6,1,116.989,316.921,3.93718,2.12216,1080.56,878.891,43.2553,-69.9807,52032.8,1208.38,1,2,3,4,5,0
